title,price
Riglos  100,USD 13.500
"Gainza, Martin De, Gral. al 400",USD 300.000
Matienzo al 2400,USD 400.000
Holmberg al 1700,USD 355.000
Tronador al 1700,USD 995.000
Bdier Gral J Zapiola 1700,USD 700.000
O'Higgins 2400,USD 320.000
Migueletes al 1700,USD 420.000
Tronador al 1500,USD 540.000
Conde al 2300,USD 380.000
Vuelta De Obligado 1100,USD 490.000
Miñones 2300,USD 290.000
Estomba 1500,USD 1.800.000
Vuelta de Obligado al 2200,USD 1.200.000
Vuelta De Obligado 1100,USD 490.000
Naon 4000,USD 260.000
Virrey Arredondo 3200,USD 299.000
G Jaramillo 4500,USD 290.000
Conde 3600,USD 490.000
MIGUEL A. CAMINO  3700,USD 280.000
Manzanares 4900,USD 295.000
Freire 4300,USD 350.000
"FERNANDEZ, MACEDONIO 5800",USD 470.000
Naon 4000,USD 260.000
Tronador 4100,USD 225.000
Manzanares al 3700,USD 450.000
Tronador  4200,USD 540.000
"TERRY, JOSE A. 200",USD 350.000
Ramallo  4900,USD 320.000
"RAMALLO ESQUINA M.ACHA 4600, Piso PB",USD 305.000
HIDALGO 500,USD 900.000
Conde al 3500,USD 190.000
Formosa al 700,USD 385.000
Mendez De Andes 1600,USD 460.000
Morelos al 100,USD 425.000
Apolinario Figueroa al 1900,USD 440.000
Valle al 1000,USD 330.000
Cachimayo al al 200,USD 780.000
"Morelos y Yerbal - Moderna casa lote de 8,66 x 24. Jardin con pileta. 5 amb. Terraza. Cochera",USD 390.000
General Vintter al 800,USD 375.000
MEXICO al 4200,USD 370.000
VALLE,USD 146.000
Luis Viale  1900,USD 330.000
Artilleros 1900,USD 540.000
PLAZA al 2500,USD 340.000
DELGADO 1400,USD 360.000
Olazabal 1200,USD 750.000
Sucre 700,USD 2.800.000
Tronador al 1800,USD 750.000
Tamborini al 4000,USD 480.000
Maure 2000,USD 1.350.000
Superi al 2100,USD 700.000
LA PAMPA 3400,USD 565.000
Blanco Encalada Al 1300,USD 2.250.000
Artilleros al 1900,USD 520.000
Moldes  1700,USD 490.000
Av Cramer 4200,USD 390.000
Garcia de Rio al 3900,USD 250.000
Mendoza al 3700,USD 1.300.000
N Mendez 2500,USD 439.000
C Larralde 3300,USD 430.000
Ramallo 3600,USD 348.000
Manuela Pedraza 2600,USD 590.000
Tronador  al 4100,USD 375.000
Pje Achira 4900,USD 325.000
RAMALLO al 3300,USD 650.000
CORREA 4600,USD 320.000
J De Andonaegui 3600,USD 499.000
TRONADOR 4300,USD 149.000
OLOF PALME 4500,USD 195.000
OLOF PALME 4500,USD 220.000
Crisólogo Larralde 5700,USD 750.000
Jose Juan Biedma 700,USD 670.000
PICO  3600,USD 319.000
Gral Guillermo Miller 3500,Consultar precio
Puan 800,USD 490.000
Biedma  1000,USD 254.990
Yerbal 90,USD 595.000
Pasaje Florencio Balcarce 100,USD 1.150.000
Bogota 100,USD 380.000
Pujol 1200,USD 338.000
Biedma 500,USD 430.000
Beauchef al 500,USD 395.000
Puan 1400,USD 364.900
J Bonifacio 1600,USD 550.000
Espinosa 1500,USD 218.000
"Av. centenario al 900, entre Chile y Estanislao diaz",USD 130.000
"Arenales 1000, Piso 1",USD 99.000
"CORONEL CETZ  100, Piso 3",USD 119.000
"Pte H Yrigoyen 400, Piso 1",USD 99.500
Colectora Paramericana Y Edison,USD 120.000
"Avenida Santa Fe 1100, Piso 10",USD 195.000
Albarellos  al 2100,USD 320.000
"Arenales 2100, Piso 11",USD 98.000
Haedo al 500,USD 195.000
Av Fondo de la Legua al 2400,USD 80.000
"Beruti 1400, Piso PB",USD 149.000
Prilidiano Pueyrredón al 2000,USD 99.000
"Hipólito Yrigoyen 100, Piso 1",USD 70.000
Hipolito Yrigoyen  al 1400,USD 95.000
Alem 100,USD 215.000
25 de Mayo al 300,USD 230.000
"El Solar de San Isidro, San Isidro",USD 369.000
3 de febrero  28,USD 187.000
AVENIDA CENTENARIO 1500,USD 92.000
"PAZ, GRAL. 1700",USD 155.000
Riobamba 400,USD 295.000
WASHINGTON 2200,USD 790.000
Vicente Lopez 100,USD 280.000
Don Bosco al 200,USD 129.000
Gral Guido 1100,USD 59.000
"AVENIDA CENTENARIO 1600, Piso 4",USD 118.000
Jardines de San Isidro II 1000,USD 275.000
SANTA FE AV. al 100,USD 125.000
"Albarellos 1000, Piso 3",USD 98.000
Albarellos al 1000 entre Jujuy y Justo J. de Urquiza,USD 75.000
Av. Libertador al 15500 entre Juan Cruz Varela y Vicente Lopez y Planes,USD 135.000
alsina al 100,USD 148.000
GARIBALDI 600,USD 189.000
Roque Saenz Peña al 200,USD 270.000
Albarellos al 953 9E,USD 115.000
FRANCIA al 400,USD 64.000
Albarellos al 1000,USD 75.000
"Olegario Andrade 100, Piso 2",USD 210.000
Peru 100 entre Albarellos y Manzone,USD 160.000
Conde al 1700,USD 890.000
Washington al 2100,USD 480.000
Conde 1700,USD 1.800.000
Naon al 1800,USD 1.100.000
"O'HIGGINS 400, Piso 1",USD 80.000
"Avenida Santa Fe 400, Piso 10",USD 138.000
Liniers 64,USD 145.000
SARANDI 100,USD 285.000
CENTENARIO 2200,USD 169.000
Intendente Becco al 2300,USD 227.000
Solis al 800 - San Isidro,USD 1.000.000
Jujuy  100,USD 375.000
Moreno 500,USD 65.000
"O'Higgins 400, Piso 2",USD 206.000
"Diego Palma 200, Piso 3",USD 108.000
Martin y Omar 31,USD 115.000
Alsina 447,USD 255.000
Avenida Bernabé Márquez 0,USD 77.600
Rawson al 2000,USD 115.000
3 de Febrero al 400,USD 149.000
Av Centenario al 1900,USD 90.000
"Jacinto Díaz 400, Piso 1",USD 145.000
D Repetto 400,USD 176.000
Avenida Centenario 2100,USD 96.000
SUCRE  2700,USD 600.000
Tronador 2000,USD 450.000
Estomba 1600,USD 1.220.000
Estomba al 1500,USD 1.150.000
3 de Febrero al 200,USD 170.000
Zabala al 2100,USD 580.000
Moreno 900,USD 70.000
Av. Santa Fe al 2600,USD 225.000
Diego Palma al 50,USD 129.000
Ladislao Martínez al 0 entre Av. santa Fe y Arenales,USD 256.000
"Dr J Jose Paso 100, Piso 12",USD 185.000
"Lima 1050 5 PISO 2º ""A"" - La Pasionaria",USD 210.000
GARIBALDI al 1171,USD 260.000
Alfaro  179 8° D,USD 170.000
Roque Saenz Peña al 300,USD 430.000
"Nicolas Avellaneda 100, Piso 2",USD 155.000
O' Higgins al 334 1° A,USD 158.000
Jardines de San Isidro Pb°E Cedro,USD 399.000
Avenida Libertador  13000 13000,USD 250.000
"Vicente Lopez 100, Piso 7",USD 219.000
