Rank,title,AuthorName,Language,Price_normal,Id
2253,Dø hvis du tør,Allan Erik Mortensen,Dansk,139.95,9788794232555
2254,Strategisk bæredygtighed,Annette Stube,Dansk,279.95,9788797342015
2255,Pengenes psykologi,Morgan Housel,Dansk,139.95,9788799938193
2256,Hestevognskørsel -en sport i udvikling,Mette Klemensen,Dansk,40,9788799972708
2257,En konges vej - Del 2,Brandon Sanderson,Dansk,139.95,9789180138123
2258,Akrash,Jesper Stein,Dansk,109.95,9788740016369
2259,Den mørke engel,Elly Griffiths,Dansk,79.95,9788712062301
2260,Ingen plan B,Lee Child,Dansk,159.95,9788771079715
2261,En danmarkshistorie,Søren M. Sindbæk,Dansk,229.95,9788772198378
2262,Pigen under jorden,Elly Griffiths,Dansk,79.95,9788712055501
2263,Engang troede vi på fremtiden,Christian Bennike,Dansk,129.95,9788702391961
2264,Nedsmeltning,Niels Krause-Kjær,Dansk,199.95,9788711996676
2265,Bogen om bogføring for begyndere,Regnskabsskolen ApS,Dansk,140,9788791875441
2266,Nemesis,Wilbur Smith,Dansk,179.95,9788727017266
2267,Skyggens lærling 17 - Arazans ulve,John Flanagan,Dansk,79.95,9788702397772
2268,Overlev,Ali Najei,Dansk,179.95,9788773397831
2269,Mørkeland,Niels Krause-Kjær,Dansk,79.95,9788711910290
2270,Grønt støv,Sara Blaedel,Dansk,99.95,9788771082982
2271,Blindt raseri,Cara Hunter,Dansk,79.95,9788712059899
2272,Det gode plot,Jan Kjær,Dansk,159.95,9788794181181
2273,Caught Up,,Engelsk,55.85,9781399728584
2274,De fortabte spillemænd,William Heinesen,Dansk,49.95,9788702187403
2275,Det gode håb,William Heinesen,Dansk,49.95,9788702187427
2276,Project Hail Mary,Andy Weir,Dansk,159.95,9788771718546
2277,Tab dig sundere - med anti-inflammatorisk kost,Martin Kreutzer,Dansk,199.95,9788740081831
2278,Lygtemændene,Elly Griffiths,Dansk,189.95,9788712072522
2279,Nightingale and the Rose,Oscar Wilde,Engelsk,4.95,9780061924439
2280,Simply Irresistible,Rachel Gibson,Engelsk,29.95,9780062205605
2281,When a Duke Loves a Woman,Lorraine Heath,Engelsk,29.95,9780062676047
2282,Fine Print,Lauren Asher,Engelsk,51.19,9780349433431
2283,All Together Dead,Charlaine Harris,Engelsk,41.86,9780575087866
2284,Nigger,Dick Gregory,Engelsk,179.95,9780593086155
2285,The Haunted Mask,R.L. Stine,,59.95,9781407160931
2286,One Day at Horrorland,R.L. Stine,,59.95,9781407160979
2287,Classic Goosebumps 13: Welcome to the Dead House,R.L. Stine,,59.95,9781407171609
2288,How to Learn a Foreign Language,Pimsleur,Engelsk,120.27,9781442369030
2289,Lockwood & Co: The Creeping Shadow,Jonathan Stroud,Engelsk,65.17,9781448196050
2290,Data Mesh,Zhamak Dehghani,Engelsk,561.63,9781492092360
2291,"Time Lived, Without Its Flow",Denise Riley,Engelsk,116.91,9781529017113
2292,Den nydelsesfulde hjerne,Morten Kringelbach,Dansk,49.95,9788702105148
2293,Strategisk selvledelse,Anders Raastrup Kristensen,Dansk,49.95,9788702119275
2294,Sandmanden,Lars Kepler,Dansk,79.95,9788702128819
2295,Jadekatten,Suzanne Brøgger,Dansk,49.95,9788702145199
2296,Benedicte,Niels Barfoed,Dansk,49.95,9788702159134
2297,Mord i marts,Dan Turèll,Dansk,79.95,9788702162288
